숙소명,시군구명,포함된_고유명사,포함된_고유명사(TF-IDF),장애인편의시설
춘천일기스테이,춘천시,"['강원도', '공지천', '의암호', '춘천', '춘천시', '하중도']","{'공지천': 0.594, '춘천': 0.186, '하중도': 0.144, '의암호': 0.137, '춘천시': 0.116, '강원도': 0.059}",X
호텔공지천,춘천시,"['강촌', '남이섬', '춘천']","{'춘천': 0.187, '강촌': 0.117, '남이섬': 0.117}",X
남이섬설리조트,춘천시,"['강원도', '철원읍', '한탄강']","{'철원읍': 0.189, '한탄강': 0.143, '강원도': 0.078}",X
봄스테이,춘천시,"['강원도', '춘천시', '효자동']","{'효자동': 0.19, '춘천시': 0.154, '강원도': 0.078}",X
쏠리오,춘천시,[],{},X
하늘풍경펜션,춘천시,['강촌'],{'강촌': 0.457},X
리버웍펜션,춘천시,[],{},X
아름다운집,춘천시,"['강촌', '남이섬']","{'강촌': 0.245, '남이섬': 0.122}",X
비안단테 펜션,춘천시,"['춘천', '춘천역']","{'춘천역': 0.254, '춘천': 0.178}",X
헤이춘천,춘천시,['공지천'],{'공지천': 0.156},"휠체어 접근로 있음, 지체장애인을 위한 홍보물 있음, 보조견 동반 가능, 점자홍보물 있음"
1962호텔,춘천시,"['강원도', '남춘천역', '레고랜드', '춘천']","{'남춘천역': 0.223, '레고랜드': 0.223, '춘천': 0.144, '강원도': 0.092}","장애인 주차구역 있음, 경사로 있음, 출입구까지 턱이 없이 접근 가능, 출입구까지 경사로 설치, 점자블록 있음"
넘버25 호텔 남춘천점,춘천시,"['강대', '강원도', '춘천']","{'춘천': 0.28, '강대': 0.23, '강원도': 0.089}",출입구까지 턱이 없이 접근 가능
리버사이드호텔,춘천시,"['강원도', '소양강댐', '춘천']","{'소양강댐': 0.202, '춘천': 0.131, '강원도': 0.083}","장애인 주차구역 있음, 경사로 있음, 출입구까지 턱이 없이 접근 가능, 출입구까지 경사로 설치, 점자블록 있음"
브라운도트호텔 남춘천점,춘천시,['남춘천역'],{'남춘천역': 0.219},X
스테이 물결,춘천시,"['강원도', '춘천시', '효자동']","{'효자동': 0.171, '춘천시': 0.139, '강원도': 0.071}","장애인 주차구역 있음, 대중교통 이용 가능, 휠체어 접근로 있음"
YlangYlang,춘천시,"['강원도', '공지천', '춘천', '퇴계동']","{'퇴계동': 0.245, '공지천': 0.19, '춘천': 0.149, '강원도': 0.095}",X
호연담,춘천시,"['레고랜드', '춘천', '춘천역']","{'레고랜드': 0.113, '춘천역': 0.104, '춘천': 0.073}",X
호텔정관루본관,춘천시,"['강원도', '남이섬', '춘천']","{'남이섬': 0.449, '춘천': 0.119, '강원도': 0.076}",엘리베이터 있음.
리젠트모텔,춘천시,"['공지천', '소양강댐', '춘천시']","{'소양강댐': 0.34, '공지천': 0.281, '춘천시': 0.276}",X
제이드모텔,춘천시,"['강원', '청평사', '춘천', '춘천시']","{'강원': 0.247, '청평사': 0.185, '춘천시': 0.141, '춘천': 0.113}","
엘리베이터 있음"
큐모텔,춘천시,"['춘천', '춘천시']","{'춘천': 0.351, '춘천시': 0.22}",엘리베이터 있음
테마모텔,춘천시,"['강원', '공지천', '중앙시장', '춘천', '춘천시']","{'춘천': 0.571, '공지천': 0.122, '춘천시': 0.119, '중앙시장': 0.117, '강원': 0.104}",X
숲속의강촌,춘천시,"['강촌', '남이섬']","{'강촌': 0.515, '남이섬': 0.172}",x
태백관광호텔(SORANO HOTEL),태백시,"['강원랜드', '용연동굴', '태백', '하이원리조트']","{'태백': 0.41, '용연동굴': 0.248, '하이원리조트': 0.228, '강원랜드': 0.201}",x
설화국가족 호텔,태백시,"['태백', '황지동']","{'황지동': 0.625, '태백': 0.516}",o
오투(O2)리조트,태백시,"['태백', '황지동']","{'황지동': 0.321, '태백': 0.265}",X
리베라모텔(태백),태백시,"['태백', '태백시', '황지연못']","{'태백시': 0.145, '황지연못': 0.138, '태백': 0.119}",X
태백산 한옥펜션[한국관광 품질인증/Korea Quality],태백시,['태백산'],{'태백산': 0.348},X
통리게스트하우스,태백시,['통리역'],{'통리역': 0.262},"경사로 있음, 출입구까지 턱이 없이 접근 가능, 장애인 화장실 있음, 지체장애인을 위한 장애인객실 있음, 보조견 동반 가능"
동아호텔,태백시,"['강원도', '용연동굴', '태백', '태백역']","{'태백': 0.406, '용연동굴': 0.246, '태백역': 0.234, '강원도': 0.101}",X
시대장모텔,태백시,['태백역'],{'태백역': 0.443},X
태백호텔,태백시,"['태백', '태백산']","{'태백': 0.304, '태백산': 0.175}",X
이지스모텔,태백시,['태백역'],{'태백역': 0.246},X
알프스모텔,태백시,"['태백', '황지연못']","{'태백': 0.467, '황지연못': 0.27}",X
패스텔모텔,태백시,"['강원도', '태백', '태백산', '태백시', '황지연못']","{'태백': 0.393, '황지연못': 0.303, '태백시': 0.159, '태백산': 0.151, '강원도': 0.066}","휠체어 이용 가능
계단 없는 주 출입구
장애인 지원 객실"
드래곤밸리호텔,평창군,"['대관령면', '알펜시아', '용평', '평창', '평창군']","{'용평': 0.431, '대관령면': 0.119, '알펜시아': 0.102, '평창군': 0.091, '평창': 0.069}","장애인 지원 객실
점자 안내판
계단 난간
수영장 램프 이용 가능
계단 없는 주 출입구
휠체어 이용 가능"
켄싱턴플로라호텔평창,평창군,"['알펜시아', '오대산', '용평', '월정사', '평창']","{'평창': 0.16, '월정사': 0.126, '용평': 0.124, '오대산': 0.121, '알펜시아': 0.117}","장애인 지원 객실
점자 안내판
휠체어 이용 가능"
휘닉스파크호텔,평창군,"['강원도', '태기산', '평창']","{'평창': 0.081, '태기산': 0.071, '강원도': 0.034}",장애인 지원 객실
인터컨티넨탈 알펜시아평창리조트,평창군,"['알펜시아', '오대산', '용평리조트', '월정사', '평창']","{'알펜시아': 0.192, '평창': 0.131, '월정사': 0.103, '오대산': 0.099, '용평리조트': 0.095}",장애인용 편의 시설/서비스
홀리데이인리조트,평창군,"['대관령', '알펜시아', '오대산', '용평', '월정사', '평창']","{'평창': 0.21, '알펜시아': 0.206, '대관령': 0.179, '월정사': 0.111, '용평': 0.109, '오대산': 0.106}",애인 지원 객실
서림관광호텔,평창군,"['대관령', '양양국제공항', '용평', '평창', '평창군']","{'양양국제공항': 0.236, '용평': 0.214, '평창군': 0.18, '대관령': 0.176, '평창': 0.138}",x
고려궁 전통한옥호텔,평창군,"['알펜시아', '오대산', '용평', '용평리조트', '평창']","{'평창': 0.217, '용평': 0.169, '오대산': 0.164, '알펜시아': 0.159, '용평리조트': 0.158}","장애인 지원 객실
계단 없는 주 출입구"
㈜현대엘리엇호텔 앤드리조트,평창군,"['알펜시아', '용평리조트', '평창']","{'알펜시아': 0.248, '용평리조트': 0.123, '평창': 0.084}",엘리베이터
한화호텔&리조트 평창한화콘도,평창군,"['알펜시아', '평창']","{'평창': 0.174, '알펜시아': 0.128}","엘리베이터, 장애인용 편의시설/서비스"
홀리데이인스위트,평창군,"['대관령면', '알펜시아', '용평', '평창', '평창군']","{'알펜시아': 0.284, '평창': 0.193, '대관령면': 0.165, '용평': 0.15, '평창군': 0.126}",x
아이원리조트,평창군,"['강원도', '수도권', '알펜시아', '용평리조트', '평창', '평창올림픽']","{'평창올림픽': 0.187, '수도권': 0.161, '알펜시아': 0.127, '용평리조트': 0.126, '평창': 0.087, '강원도': 0.073}","장애인 지원 객실
계단 없는 주 출입구
휠체어 이용 가능"
용평4-3차 아폴리스 콘도,평창군,"['대관령면', '알펜시아', '용평', '평창', '평창군']","{'용평': 0.453, '대관령면': 0.125, '알펜시아': 0.107, '평창군': 0.095, '평창': 0.073}","휠체어 접근 가능, 장애인 전용 화장실, 보조견 동반 가능, 안내요원"
한국전통음식문화체험관(정강원),평창군,"['강원도', '용평면', '평창군']","{'용평면': 0.096, '평창군': 0.058, '강원도': 0.037}",X
베리온리조트,평창군,['강원도'],{'강원도': 0.072},"장애인 주차장, 경사로, 휠체어 대여 가능, 엘리베이터, 장애인 전용 화장실, 장애인 전용 객실, 안내요원, 유모차 대여 가능"
휘닉스 평창 콘도,평창군,['평창'],{'평창': 0.104},X
관광펜션 시실리(평창시실리펜션),평창군,[],{},X
솔섬마을 관광펜션,평창군,[],{},X
휘닉스평창 유스호스텔,평창군,['평창'],{'평창': 0.24},X
샬레리조트,평창군,[],{},엘리베이터
올리브뷰띠끄,평창군,[],{},X
12월의왈츠펜션,평창군,['용평'],{'용평': 0.233},X
계방산자연농원,평창군,[],{},X
키스멧코티지,평창군,[],{},X
산내들펜션,평창군,['평창'],{'평창': 0.073},X
플로렌스펜션,평창군,['홍천'],{'홍천': 0.209},X
비움 펜션,평창군,"['대관령', '알펜시아', '오대산', '월정사', '평창']","{'월정사': 0.236, '오대산': 0.225, '알펜시아': 0.219, '대관령': 0.19, '평창': 0.149}",X
어름치펜션,평창군,"['동강', '백운산', '평창']","{'동강': 0.317, '백운산': 0.204, '평창': 0.095}",X
우미정,평창군,[],{},X
보궁민박,평창군,"['오대산', '월정사']","{'월정사': 0.546, '오대산': 0.521}",X
채울,평창군,[],{},X
정강원 관광농원,평창군,"['강원도', '봉평', '평창군']","{'봉평': 0.169, '평창군': 0.132, '강원도': 0.085}",X
가을동화펜션,평창군,['평창'],{'평창': 0.16},X
평창이야기펜션,평창군,"['알펜시아', '용평리조트', '평창']","{'알펜시아': 0.262, '용평리조트': 0.259, '평창': 0.178}",X
벤치하우스 펜션,평창군,"['알펜시아', '용평리조트']","{'알펜시아': 0.22, '용평리조트': 0.218}",X
우리민박,평창군,[],{},X
수정펜션,평창군,"['대관령', '대관령면']","{'대관령면': 0.406, '대관령': 0.303}",X
솔밭개울펜션,평창군,[],{},X
엔젤드림펜션,평창군,['알펜시아'],{'알펜시아': 0.251},"장애인 주차장, 휠체어 접근 가능, 엘리베이터, 장애인 전용 화장실, 점자블록, 안내요원"
AM호텔,평창군,"['강릉', '강원도', '대관령면', '동해']","{'대관령면': 0.255, '강릉': 0.17, '동해': 0.16, '강원도': 0.125}",X
체르맛트,평창군,"['강원도', '알펜시아리조트', '오대산', '용평', '월정사', '진부면', '평창']","{'평창': 0.319, '알펜시아리조트': 0.216, '진부면': 0.206, '월정사': 0.168, '용평': 0.166, '오대산': 0.161, '강원도': 0.089}","장애인 주차장, 경사로, 엘리베이터, 장애인 전용 화장실, 장애인 전용 객실, 안내요원"
베리온리조트2,평창군,"['대관령', '오대산', '용평리조트']","{'오대산': 0.144, '용평리조트': 0.138, '대관령': 0.122}",X
힐링하시개,평창군,[],{},X
베리온리조트1,평창군,"['대관령', '오대산', '용평리조트']","{'오대산': 0.144, '용평리조트': 0.138, '대관령': 0.122}",X
화이트캐빈,평창군,"['강원도', '평창']","{'평창': 0.161, '강원도': 0.135}",X
가재와곰펜션,평창군,"['강원도', '평창군']","{'평창군': 0.138, '강원도': 0.088}",X
라마다호텔&스위트평창,평창군,"['대관령', '평창']","{'평창': 0.32, '대관령': 0.272}",X
더마루,평창군,"['대관령', '대관령면', '횡계']","{'대관령': 0.506, '횡계': 0.267, '대관령면': 0.226}",X
에이엠호텔,평창군,['평창'],{'평창': 0.223},X
더화이트호텔,평창군,"['강원도', '평창']","{'평창': 0.088, '강원도': 0.074}",X
안단테 북펜션,평창군,"['백덕산', '청옥산', '평창']","{'백덕산': 0.328, '청옥산': 0.328, '평창': 0.152}",X
별빛나루 펜션,평창군,[],{},X
작은통나무집 펜션,평창군,[],{},X
돈막골펜션,평창군,"['강원도', '레일바이크', '평창']","{'레일바이크': 0.19, '평창': 0.129, '강원도': 0.108}",X
평창강가에서펜션,평창군,['평창'],{'평창': 0.245},X
숲사이길펜션,평창군,"['강릉', '경포대', '알펜시아', '오대산', '오대천', '용평', '월정사', '주문진']","{'오대천': 0.145, '월정사': 0.106, '용평': 0.105, '오대산': 0.102, '경포대': 0.099, '알펜시아': 0.099, '주문진': 0.092, '강릉': 0.077}",X
융프라우펜션,평창군,[],{},X
산모랭이펜션,평창군,['평창'],{'평창': 0.095},X
계절이 지나가는 하늘,평창군,[],{},X
베니스펜션,평창군,"['강원도', '봉평면', '평창군']","{'봉평면': 0.263, '평창군': 0.225, '강원도': 0.144}",X
그림같은집,평창군,['수도권'],{'수도권': 0.234},X
애비로드,평창군,[],{},X
송림펜션,평창군,[],{},X
다차펜션,평창군,"['강원도', '용평리조트', '평창']","{'용평리조트': 0.172, '평창': 0.118, '강원도': 0.099}",X
안개꽃필무렵,평창군,[],{},X
쪽빛하늘펜션,평창군,[],{},X
퀸스가든펜션,평창군,"['대관령', '평창']","{'대관령': 0.134, '평창': 0.105}",X
펜션그림,평창군,['대관령'],{'대관령': 0.252},X
우리빌리지펜션,평창군,"['강릉', '한강']","{'한강': 0.251, '강릉': 0.142}",X
T-Pension,평창군,['대관령'],{'대관령': 0.173},X
쉼펜션,평창군,"['강원도', '봉평면', '평창', '평창군']","{'평창': 0.342, '봉평면': 0.175, '평창군': 0.149, '강원도': 0.095}",X
강애산애펜션,평창군,['강원도'],{'강원도': 0.201},X
하이디하우스,평창군,"['강원도', '평창군']","{'평창군': 0.241, '강원도': 0.154}",X
봉평별빛펜션,평창군,"['봉평', '평창']","{'봉평': 0.3, '평창': 0.179}",X
비블로스펜션,평창군,['평창'],{'평창': 0.155},X
펜션수가성,평창군,"['강원도', '평창']","{'평창': 0.128, '강원도': 0.107}",X
이스턴파크,평창군,['평창'],{'평창': 0.06},X
하우스봉봉,평창군,[],{},X
메이페어 데네브,평창군,"['강원도', '평창군']","{'평창군': 0.125, '강원도': 0.08}",X
대관령에델바이스펜션,평창군,"['대관령', '알펜시아리조트', '용평리조트']","{'알펜시아리조트': 0.198, '용평리조트': 0.142, '대관령': 0.125}",X
푸른솔펜션,평창군,"['대관령', '용평리조트']","{'대관령': 0.299, '용평리조트': 0.17}",X
칸델라통나무펜션,평창군,[],{},X
아침의 소리,평창군,"['대관령', '태기산', '평창']","{'태기산': 0.214, '대관령': 0.156, '평창': 0.122}",X
대관령하우스,평창군,"['대관령', '평창']","{'대관령': 0.279, '평창': 0.218}",X
솔숲,평창군,"['강원', '강원도', '평창']","{'평창': 0.266, '강원도': 0.223, '강원': 0.191}",X
메이페어 리겔,평창군,"['봉평면', '평창군']","{'봉평면': 0.202, '평창군': 0.173}",X
마메별,평창군,"['강원도', '평창']","{'평창': 0.116, '강원도': 0.097}",X
꼬마성,평창군,"['강원도', '평창']","{'평창': 0.173, '강원도': 0.144}",X
개여울,평창군,[],{},X
아리오,평창군,"['강원도', '봉평면', '평창']","{'봉평면': 0.197, '평창': 0.128, '강원도': 0.107}",X
(주)나온 리조트팰리즈,평창군,[],{},X
대관령로뎀나무,평창군,"['강원도', '대관령', '대관령면', '알펜시아', '용평리조트', '평창', '평창군']","{'대관령면': 0.183, '알펜시아': 0.157, '용평리조트': 0.155, '평창군': 0.14, '대관령': 0.137, '평창': 0.107, '강원도': 0.09}",X
선영아사랑해,평창군,[],{},X
안단테펜션,평창군,"['봉평면', '평창군']","{'봉평면': 0.156, '평창군': 0.134}",X
핑크하우스,평창군,"['봉평', '봉평면', '평창', '평창군']","{'봉평': 0.196, '봉평면': 0.179, '평창군': 0.153, '평창': 0.117}",X
스노우힐펜션,평창군,"['진부면', '평창군']","{'진부면': 0.211, '평창군': 0.143}",X
그리네펜션,평창군,"['봉평면', '평창군']","{'봉평면': 0.155, '평창군': 0.133}",X
메이페어나르샤,평창군,['평창'],{'평창': 0.096},X
푸른하늘펜션(펜트하우스펜션),평창군,[],{},X
하늘닿은펜션,평창군,"['강원도', '봉평면', '평창', '평창군']","{'평창': 0.15, '봉평면': 0.077, '평창군': 0.066, '강원도': 0.042}",X
펜스토리,평창군,[],{},X
별헤는밤,철원군,['철원'],{'철원': 0.155},X
별헤는밤,평창군,"['대관령', '봉평면', '평창군']","{'봉평면': 0.248, '평창군': 0.212, '대관령': 0.207}",X
대관령아름다운펜션,평창군,"['대관령', '오대산']","{'대관령': 0.408, '오대산': 0.241}",X
대관령그린필드펜션,평창군,['용평'],{'용평': 0.182},X
로얄장모텔,평창군,"['강원', '강원도', '평창군', '평창읍']","{'평창읍': 0.222, '강원': 0.171, '평창군': 0.156, '강원도': 0.1}",X
평창아름다운세상,평창군,['평창'],{'평창': 0.113},X
부성파크,평창군,['장평'],{'장평': 0.226},X
프라하21펜션,평창군,[],{},X
구름위의테라스,평창군,['대관령'],{'대관령': 0.147},X
오대산별빛동산펜션,평창군,"['오대산', '용평리조트', '월정사']","{'오대산': 0.245, '월정사': 0.128, '용평리조트': 0.118}",X
초가집황토펜션,평창군,"['강원도', '봉평면', '태기산', '평창군']","{'태기산': 0.126, '봉평면': 0.11, '평창군': 0.094, '강원도': 0.06}",X
황미숙펜션,평창군,"['대관령', '용평']","{'용평': 0.203, '대관령': 0.167}",X
더파머스,평창군,['평창'],{'평창': 0.104},X
평창강펜션,평창군,"['동강', '동해안', '평창']","{'평창': 0.377, '동강': 0.158, '동해안': 0.149}",X
뇌운계곡사람들,평창군,"['강원도', '평창군', '평창읍']","{'평창읍': 0.313, '평창군': 0.22, '강원도': 0.141}",X
두산민박,평창군,"['진부면', '평창군']","{'진부면': 0.22, '평창군': 0.149}",X
로뎀나무펜션,평창군,['평창'],{'평창': 0.163},X
메아리펜션,평창군,['평창'],{'평창': 0.156},X
둥지민박,평창군,['월정사'],{'월정사': 0.2},X
옹기종기펜션,평창군,"['강원도', '평창', '평창군', '평창읍']","{'평창읍': 0.26, '평창군': 0.183, '평창': 0.139, '강원도': 0.117}",X
평창필그림펜션,평창군,"['봉평', '평창']","{'평창': 0.18, '봉평': 0.15}",X
평창강힐링하우스,평창군,['평창'],{'평창': 0.158},X
평창 다온숲 펜션,평창군,['평창'],{'평창': 0.305},X
평창힐링스테이,평창군,"['평창', '평창읍']","{'평창': 0.433, '평창읍': 0.404}",X
리버사이드,평창군,['평창'],{'평창': 0.239},X
숲속하얀뜰,평창군,"['대관령', '봉평', '평창']","{'평창': 0.295, '봉평': 0.247, '대관령': 0.188}",X
대관령옛길펜션-바이올렛,평창군,"['대관령', '용평리조트']","{'대관령': 0.375, '용평리조트': 0.142}",X
대관령옛길펜션-화이트,평창군,"['대관령', '용평리조트']","{'대관령': 0.375, '용평리조트': 0.142}",X
에브라임,평창군,"['강원', '대관령', '평창']","{'평창': 0.295, '강원': 0.212, '대관령': 0.188}",X
해맑은마을,평창군,[],{},X
산마을풍경,평창군,[],{},X
산들맘 펜션,평창군,[],{},X
별 따러 가자,평창군,[],{},X
리프레쉬 펜션&캠핑장,평창군,[],{},X
시골밥상펜션,평창군,[],{},X
돌배나무세그루,평창군,"['강원도', '봉평', '평창']","{'봉평': 0.28, '평창': 0.167, '강원도': 0.14}",X
더 휴,평창군,[],{},X
대박이하우스,평창군,[],{},X
눈꽃새 펜션,평창군,[],{},X
기와집농박,평창군,[],{},X
흥정계곡409,평창군,"['강원', '평창군']","{'강원': 0.201, '평창군': 0.184}",X
THE 힐링펜션,평창군,[],{},X
도그밀리(DOGMILY),평창군,[],{},X
욜로하우스,평창군,[],{},X
으지네민박,평창군,['평창'],{'평창': 0.18},X
봉쥬르펜션,평창군,['평창'],{'평창': 0.148},X
그랑샤리오,평창군,[],{},X
라비앙펜션,평창군,['태기산'],{'태기산': 0.197},X
평창듀오애견수영장계곡펜션,평창군,[],{},X
아침에새소리,평창군,"['봉평면', '평창군']","{'봉평면': 0.174, '평창군': 0.149}",X
봄여름가을겨울,평창군,['평창'],{'평창': 0.114},"장애인 주차장, 휠체어 접근 가능, 휠체어 대여 가능, 유아용 보조의자"
HJ매그놀리아용평호텔앤리조트,평창군,"['강릉', '대관령', '백두대간', '서울', '수도권', '용평리조트', '횡계']","{'용평리조트': 0.252, '서울': 0.18, '횡계': 0.117, '백두대간': 0.108, '수도권': 0.108, '대관령': 0.074, '강릉': 0.066}","장애인 전용 객실, 유모차 대여 가능"
바다내음펜션,평창군,"['봉평면', '평창']","{'봉평면': 0.165, '평창': 0.107}",X
숲속의 요정,평창군,"['강원도', '평창']","{'평창': 0.102, '강원도': 0.085}",X
펜션 리운산장,평창군,"['강릉', '동해안', '봉평', '오대산', '월정사', '정동진', '정선', '평창']","{'봉평': 0.351, '동해안': 0.166, '월정사': 0.166, '오대산': 0.158, '정동진': 0.15, '정선': 0.149, '강릉': 0.12, '평창': 0.105}",장애인 지원 객실
아트인아일랜드,평창군,[],{},엘리베이터
소노문 비발디파크,홍천군,"['서면', '서울', '홍천군']","{'홍천군': 0.151, '서면': 0.148, '서울': 0.137}",엘리베이터(문 너비 99cm)
호텔화양강,홍천군,"['원주', '홍천']","{'원주': 0.174, '홍천': 0.158}",X
세이지우드 호텔 홍천,홍천군,['홍천'],{'홍천': 0.379},X
안개자니펜션,홍천군,['공작산'],{'공작산': 0.278},X
신영펜션,홍천군,"['강원도', '서면', '팔봉산', '홍천', '홍천군']","{'팔봉산': 0.165, '홍천군': 0.165, '서면': 0.161, '홍천': 0.128, '강원도': 0.081}",X
구름속의 산책 키즈풀빌라,홍천군,[],{},X
하늘호수 키즈풀빌라,홍천군,[],{},X
인마이라이프,홍천군,[],{},X
홍천 ST리조텔,홍천군,"['강원도', '서면', '양평', '오션월드', '용문', '팔봉산', '홍천', '홍천군']","{'홍천군': 0.296, '홍천': 0.231, '양평': 0.187, '용문': 0.187, '오션월드': 0.148, '팔봉산': 0.148, '강원도': 0.145, '서면': 0.145}",장애인 주차장
고향의봄,홍천군,"['강원도', '팔봉산', '홍천']","{'팔봉산': 0.171, '홍천': 0.133, '강원도': 0.084}",X
힐리언스 선마을,홍천군,"['강원도', '종자산', '홍천군']","{'종자산': 0.166, '홍천군': 0.132, '강원도': 0.065}",X
시실리펜션(펜션시실리),홍천군,['홍천'],{'홍천': 0.154},X
SKY비발디펜션,홍천군,"['강원도', '서면', '오션월드', '홍천', '홍천군']","{'홍천': 0.196, '오션월드': 0.125, '홍천군': 0.125, '서면': 0.123, '강원도': 0.061}",X
펫티움애견펜션,홍천군,"['오션월드', '잠실']","{'잠실': 0.248, '오션월드': 0.197}",X
유리트리트,홍천군,"['강원도', '홍천']","{'홍천': 0.118, '강원도': 0.074}",X
빌리지736,홍천군,"['쇠뿔봉', '홍천']","{'홍천': 0.272, '쇠뿔봉': 0.22}",X
펜션아이리스,홍천군,"['강원도', '서면', '서울', '오션월드', '홍천']","{'홍천': 0.215, '오션월드': 0.138, '강원도': 0.135, '서면': 0.135, '서울': 0.125}",X
펜션푸름,홍천군,"['춘천', '홍천']","{'홍천': 0.19, '춘천': 0.187}",X
너른바위,홍천군,['공작산'],{'공작산': 0.216},X
물안개피는 들꽃나루펜션,홍천군,['홍천'],{'홍천': 0.292},X
곰펜션,홍천군,"['남이섬', '서울', '오션월드', '춘천', '팔봉산', '홍천']","{'오션월드': 0.187, '팔봉산': 0.187, '남이섬': 0.179, '서울': 0.17, '홍천': 0.146, '춘천': 0.143}",X
타샤의 정원,홍천군,[],{},X
양덕드림빌 펜션,홍천군,"['강원도', '남면', '홍천군']","{'남면': 0.199, '홍천군': 0.176, '강원도': 0.086}",X
솔향기 펜션,홍천군,['홍천'],{'홍천': 0.13},X
까사모로,홍천군,"['팔봉산', '홍천']","{'팔봉산': 0.312, '홍천': 0.243}",X
강변의수채화 펜션,홍천군,"['강원도', '홍천']","{'홍천': 0.141, '강원도': 0.088}",X
세도나 펜션,홍천군,"['팔봉산', '홍천']","{'홍천': 0.387, '팔봉산': 0.124}",X
아레나 펜션,홍천군,[],{},X
티라미스 펜션,홍천군,"['강원도', '홍천']","{'홍천': 0.338, '강원도': 0.071}",X
리버힐펜션,홍천군,['홍천'],{'홍천': 0.189},X
고흐와 해바라기,홍천군,[],{},X
아름다운기억,홍천군,['홍천군'],{'홍천군': 0.206},X
멜로즈펜션,홍천군,"['강원도', '남이섬', '서면', '오션월드', '홍천']","{'홍천': 0.267, '오션월드': 0.171, '서면': 0.167, '남이섬': 0.164, '강원도': 0.084}",X
펜션강가애,홍천군,['홍천'],{'홍천': 0.353},X
응아지나루,홍천군,"['강원도', '서울', '오션월드', '팔봉산', '홍천']","{'홍천': 0.348, '오션월드': 0.089, '팔봉산': 0.089, '서울': 0.081, '강원도': 0.044}",x
강가의성,홍천군,"['춘천', '홍천']","{'홍천': 0.425, '춘천': 0.084}",x
알프스대영 골프빌리지,횡성군,"['구룡사', '횡성']","{'횡성': 0.38, '구룡사': 0.153}","장애인 주차장, 경사로, 엘리베이터, 장애인 전용 화장실"
웰리힐리CC 페어웨이빌라(히든힐스) ,횡성군,['횡성'],{'횡성': 0.126},X
웰리힐리파크,횡성군,"['강원도', '치악산', '횡성']","{'횡성': 0.162, '치악산': 0.159, '강원도': 0.081}",X
호텔 휘닉스,횡성군,"['강원', '구룡사', '치악산', '평창', '횡성']","{'구룡사': 0.206, '횡성': 0.171, '치악산': 0.167, '강원': 0.146, '평창': 0.102}",X
제너두,횡성군,['서면'],{'서면': 0.202},X
뉴월드,횡성군,['횡성군'],{'횡성군': 0.318},X
모던힐펜션,횡성군,[],{},X
펜션별을쏘다,횡성군,"['서울', '수도권', '원주']","{'수도권': 0.19, '서울': 0.159, '원주': 0.15}","보조견 동반 가능, 안내요원"
별무리펜션,횡성군,"['강원도', '대관령', '봉평', '횡성']","{'횡성': 0.363, '봉평': 0.181, '대관령': 0.138, '강원도': 0.091}",X
태기산장모텔,횡성군,"['갑천면', '둔내면', '방림면', '안흥면', '우천면', '청일면', '태기산', '횡성']","{'태기산': 0.491, '갑천면': 0.151, '방림면': 0.151, '안흥면': 0.151, '우천면': 0.151, '청일면': 0.151, '둔내면': 0.142, '횡성': 0.117}",X
위드제이,횡성군,"['강원', '횡성군']","{'횡성군': 0.17, '강원': 0.126}",X
청태산힐링펜션,횡성군,"['태기산', '횡성', '횡성댐']","{'횡성댐': 0.206, '태기산': 0.167, '횡성': 0.16}","휠체어 접근 가능, 엘리베이터"
꿈속에 그린 펜션,횡성군,['강원도'],{'강원도': 0.095},"장애인 주차장, 안내요원"
오즈모텔,횡성군,"['원주', '횡성', '횡성읍']","{'횡성': 0.48, '횡성읍': 0.206, '원주': 0.141}",
티파니모텔,횡성군,"['강원도', '둔내면', '횡성군']","{'둔내면': 0.194, '횡성군': 0.185, '강원도': 0.08}",
